Date Time (ET), Port of Albany D.O. (ppm),Norrie Point D.O. (ppm),Piermont D.O. (ppm)
9/4/11 0:45,8.93,6.75,
9/4/11 1:00,8.99,6.6,
9/4/11 1:15,8.96,6.73,
9/4/11 1:30,8.96,6.57,
9/4/11 1:45,8.92,6.87,
9/4/11 2:00,8.94,6.55,
9/4/11 2:15,8.95,6.87,
9/4/11 2:30,8.91,6.33,
9/4/11 2:45,8.93,6.45,
9/4/11 3:00,8.91,6.92,
9/4/11 3:15,8.88,6.6,
9/4/11 3:30,8.87,6.9,
9/4/11 3:45,8.88,6.8,
9/4/11 4:00,8.85,6.88,
9/4/11 4:15,8.82,6.83,
9/4/11 4:30,8.88,6.93,
9/4/11 4:45,8.83,7.05,
9/4/11 5:00,8.87,6.95,
9/4/11 5:15,8.88,6.96,
9/4/11 5:30,8.88,6.94,
9/4/11 5:45,8.89,7,
9/4/11 6:00,8.83,6.87,
9/4/11 6:15,8.92,6.93,
9/4/11 6:30,8.95,6.91,
9/4/11 6:45,8.92,6.61,
9/4/11 7:00,8.93,6.01,
9/4/11 7:15,8.88,6.49,
9/4/11 7:30,8.83,6.81,
9/4/11 7:45,8.81,6.85,
9/4/11 8:00,8.78,6.93,
9/4/11 8:15,8.83,6.89,
9/4/11 8:30,8.82,6.87,
9/4/11 8:45,8.78,6.89,
9/4/11 9:00,8.87,6.87,
9/4/11 9:15,8.84,6.81,
9/4/11 9:30,8.84,6.9,
9/4/11 9:45,8.86,6.85,
9/4/11 10:00,8.83,6.83,
9/4/11 10:15,8.88,6.89,
9/4/11 10:30,8.85,7.01,
9/4/11 10:45,8.89,6.98,
9/4/11 11:00,8.87,6.93,
9/4/11 11:15,8.86,6.91,
9/4/11 11:30,8.84,6.94,
9/4/11 11:45,8.84,6.89,
9/4/11 12:00,8.85,6.88,
9/4/11 12:15,8.82,6.92,
9/4/11 12:30,8.78,6.94,
9/4/11 12:45,8.81,7,
9/4/11 13:00,8.86,6.88,
9/4/11 13:15,8.86,6.85,
9/4/11 13:30,8.79,6.86,
9/4/11 13:45,8.85,6.87,
9/4/11 14:00,8.83,6.89,
9/4/11 14:15,8.79,6.25,
9/4/11 14:30,8.77,6.77,
9/4/11 14:45,8.83,6.46,
9/4/11 15:00,8.82,6.65,
9/4/11 15:15,8.78,6.7,
9/4/11 15:30,8.76,6.81,
9/4/11 15:45,8.72,6.95,
9/4/11 16:00,8.71,6.94,
9/4/11 16:15,8.68,6.79,
9/4/11 16:30,8.72,6.89,
9/4/11 16:45,8.68,6.91,
9/4/11 17:00,8.73,6.92,
9/4/11 17:15,8.77,6.91,
9/4/11 17:30,8.73,6.85,
9/4/11 17:45,8.74,6.87,
9/4/11 18:00,8.74,6.81,
9/4/11 18:15,8.72,6.95,
9/4/11 18:30,8.73,6.92,
9/4/11 18:45,8.7,6.86,
9/4/11 19:00,8.69,6.8,
9/4/11 19:15,8.64,6.71,
9/4/11 19:30,8.59,6.61,
9/4/11 19:45,8.59,6.82,
9/4/11 20:00,8.57,6.85,
9/4/11 20:15,8.6,6.94,
9/4/11 20:30,8.69,6.93,
9/4/11 20:45,8.62,6.94,
9/4/11 21:00,8.63,6.88,
9/4/11 21:15,8.61,6.96,
9/4/11 21:30,8.6,6.87,
9/4/11 21:45,8.59,6.9,
9/4/11 22:00,8.59,6.91,
9/4/11 22:15,8.7,6.89,
9/4/11 22:30,8.68,6.87,
9/4/11 22:45,8.71,6.8,
9/4/11 23:00,8.71,6.84,
9/4/11 23:15,8.68,6.82,
9/4/11 23:30,8.71,6.83,
9/4/11 23:45,8.71,6.81,
9/5/11 0:00,8.69,6.82,
9/5/11 0:15,8.64,6.79,
9/5/11 0:30,8.6,6.77,
9/5/11 0:45,8.73,6.72,
9/5/11 1:00,8.71,6.53,
9/5/11 1:15,8.67,6.45,
9/5/11 1:30,8.74,6.42,
9/5/11 1:45,8.73,6.58,
9/5/11 2:00,8.69,6.66,
9/5/11 2:15,8.75,6.56,
9/5/11 2:30,8.7,6.81,
9/5/11 2:45,8.74,6.73,
9/5/11 3:00,8.75,6.75,
9/5/11 3:15,8.62,6.75,
9/5/11 3:30,8.64,6.91,
9/5/11 3:45,8.65,6.47,
9/5/11 4:00,8.61,6.69,
9/5/11 4:15,8.62,6.84,
9/5/11 4:30,8.62,6.89,
9/5/11 4:45,8.57,6.81,
9/5/11 5:00,8.59,6.82,
9/5/11 5:15,8.52,6.8,
9/5/11 5:30,8.57,6.79,
9/5/11 5:45,8.61,6.91,
9/5/11 6:00,8.6,6.93,
9/5/11 6:15,8.65,6.92,
9/5/11 6:30,8.6,6.92,
9/5/11 6:45,8.6,6.87,
9/5/11 7:00,8.58,6.81,
9/5/11 7:15,8.51,6.87,
9/5/11 7:30,8.63,6.82,
9/5/11 7:45,8.67,6.78,
9/5/11 8:00,8.69,6.74,
9/5/11 8:15,8.64,6.32,
9/5/11 8:30,8.66,5.91,
9/5/11 8:45,8.71,6.65,
9/5/11 9:00,8.7,6.7,
9/5/11 9:15,8.71,6.75,
9/5/11 9:30,8.71,6.77,
9/5/11 9:45,8.77,6.8,
9/5/11 10:00,8.7,6.75,
9/5/11 10:15,8.63,6.79,
9/5/11 10:30,8.69,6.82,
9/5/11 10:45,8.73,6.77,
9/5/11 11:00,8.71,6.74,
9/5/11 11:15,8.7,6.72,
9/5/11 11:30,8.68,6.74,
9/5/11 11:45,8.65,6.78,
9/5/11 12:00,8.63,6.82,
9/5/11 12:15,8.69,6.8,
9/5/11 12:30,8.7,6.75,
9/5/11 12:45,8.58,6.79,
9/5/11 13:00,8.68,6.82,
9/5/11 13:15,8.65,6.78,
9/5/11 13:30,8.65,6.69,
9/5/11 13:45,8.59,6.75,
9/5/11 14:00,8.67,6.67,
9/5/11 14:15,8.58,6.61,
9/5/11 14:30,8.65,6.5,
9/5/11 14:45,8.63,6.67,
9/5/11 15:00,8.55,6.71,
9/5/11 15:15,8.56,6.63,
9/5/11 15:30,8.61,6.78,
9/5/11 15:45,8.6,6.73,
9/5/11 16:00,8.64,6.62,
9/5/11 16:15,8.6,6.64,
9/5/11 16:30,8.63,6.7,
9/5/11 16:45,8.6,6.64,
9/5/11 17:00,8.66,6.83,
9/5/11 17:15,8.67,6.89,
9/5/11 17:30,8.6,6.8,
9/5/11 17:45,8.64,6.89,
9/5/11 18:00,8.73,6.84,
9/5/11 18:15,8.7,6.9,
9/5/11 18:30,8.75,6.82,
9/5/11 18:45,8.75,6.88,
9/5/11 19:00,8.77,6.82,
9/5/11 19:15,8.84,6.84,
9/5/11 19:30,8.87,6.79,
9/5/11 19:45,8.85,6.68,
9/5/11 20:00,8.79,6.79,
9/5/11 20:15,8.72,6.76,
9/5/11 20:30,8.88,6.55,
9/5/11 20:45,8.82,6.65,
9/5/11 21:00,8.79,6.78,
9/5/11 21:15,8.79,6.83,
9/5/11 21:30,8.79,6.8,
9/5/11 21:45,8.81,6.78,
9/5/11 22:00,8.8,6.76,
9/5/11 22:15,8.76,6.8,
9/5/11 22:30,8.77,6.81,
9/5/11 22:45,8.73,6.84,
9/5/11 23:00,8.76,6.78,
9/5/11 23:15,8.66,6.83,
9/5/11 23:30,8.75,6.79,
9/5/11 23:45,8.68,6.78,
