date,albany_do,norrie_do,albany_rainfall,norrie_rainfall,albany_turbidity,norrie_turbidity
2011-08-25 21:00:00,7.52,7.6,0.409999,0.22,6.2,8.7
2011-08-25 21:15:00,7.6,7.59,0.409999,0.22,6.1,8.7
2011-08-25 21:30:00,7.61,7.57,0.409999,0.22,6.3,8.3
2011-08-25 21:45:00,7.62,7.56,0.409999,0.22,6.3,8.3
2011-08-25 22:00:00,7.67,7.54,0.409999,0.22,5.8,8.6
2011-08-25 22:15:00,7.68,7.5,0.409999,0.22,5.3,8.9
2011-08-25 22:30:00,7.7,7.48,0.409999,0.22,5.0,9.4
2011-08-25 22:45:00,7.68,7.46,0.409999,0.22,4.6,9.1
2011-08-25 23:00:00,7.65,7.42,0.409999,0.22,4.5,10.6
2011-08-25 23:15:00,7.65,7.27,0.409999,0.22,4.0,7.5
2011-08-25 23:30:00,7.54,7.26,0.409999,0.22,4.4,8.5
2011-08-25 23:45:00,7.36,7.41,0.409999,0.22,4.2,8.4
2011-08-26 00:00:00,7.33,7.35,0.409999,0.22,3.4,8.4
2011-08-26 00:15:00,7.55,7.41,0.409999,0.22,5.1,9.0
2011-08-26 00:30:00,7.43,7.41,0.409999,0.22,5.0,8.7
2011-08-26 00:45:00,7.53,7.45,0.409999,0.22,5.2,7.5
2011-08-26 01:00:00,7.47,7.45,0.0,0.0,4.9,8.1
2011-08-26 01:15:00,7.48,7.42,0.0,0.0,4.7,7.6
2011-08-26 01:30:00,7.49,7.38,0.0,0.0,5.2,8.9
2011-08-26 01:45:00,7.51,7.39,0.0,0.0,4.5,8.1
2011-08-26 02:00:00,7.52,7.37,0.0,0.0,4.8,8.1
2011-08-26 02:15:00,7.45,7.36,0.0,0.0,5.0,8.6
2011-08-26 02:30:00,7.58,7.33,0.0,0.0,4.4,8.1
2011-08-26 02:45:00,7.68,7.34,0.0,0.0,4.4,8.8
2011-08-26 03:00:00,7.62,7.34,0.0,0.0,5.6,8.5
2011-08-26 03:15:00,7.42,7.37,0.0,0.0,4.9,9.6
2011-08-26 03:30:00,7.55,7.34,0.0,0.0,4.4,9.7
2011-08-26 03:45:00,7.53,7.38,0.0,0.0,5.0,9.7
2011-08-26 04:00:00,7.62,7.33,0.0,0.0,5.8,9.2
2011-08-26 04:15:00,7.62,7.33,0.0,0.0,5.2,8.9
2011-08-26 04:30:00,7.71,7.32,0.0,0.0,6.6,9.5
2011-08-26 04:45:00,7.67,7.26,0.0,0.0,5.6,9.6
2011-08-26 05:00:00,7.73,7.25,0.0,0.0,7.0,10.1
2011-08-26 05:15:00,7.66,7.2,0.0,0.0,5.7,8.9
2011-08-26 05:30:00,7.75,7.18,0.0,0.0,5.8,9.6
2011-08-26 05:45:00,7.78,7.08,0.0,0.0,8.9,9.2
2011-08-26 06:00:00,7.79,6.75,0.0,0.0,8.3,8.7
2011-08-26 06:15:00,7.78,7.25,0.0,0.0,8.6,11.2
2011-08-26 06:30:00,7.74,7.35,0.0,0.0,8.8,10.6
2011-08-26 06:45:00,7.75,7.36,0.0,0.0,8.1,13.5
2011-08-26 07:00:00,7.74,7.25,0.0,0.0,8.1,12.5
2011-08-26 07:15:00,7.7,7.36,0.0,0.0,8.2,12.3
2011-08-26 07:30:00,7.68,7.39,0.0,0.0,8.4,10.9
2011-08-26 07:45:00,7.62,7.4,0.0,0.0,8.2,10.5
2011-08-26 08:00:00,7.66,7.41,0.0,0.0,7.5,10.4
2011-08-26 08:15:00,7.51,7.42,0.0,0.0,7.0,13.6
2011-08-26 08:30:00,7.58,7.45,0.0,0.0,7.0,10.8
2011-08-26 08:45:00,7.62,7.46,0.0,0.0,7.2,11.5
2011-08-26 09:00:00,7.63,7.42,0.0,0.0,8.6,11.2
2011-08-26 09:15:00,7.55,7.46,0.0,0.0,8.1,11.6
2011-08-26 09:30:00,7.52,7.51,0.0,0.0,6.2,10.5
2011-08-26 09:45:00,7.61,7.5,0.0,0.0,6.1,10.0
2011-08-26 10:00:00,7.6,7.5,0.0,0.0,6.1,10.3
2011-08-26 10:15:00,7.45,7.61,0.0,0.0,4.8,11.1
2011-08-26 10:30:00,7.69,7.64,0.0,0.0,5.0,10.4
2011-08-26 10:45:00,7.64,7.66,0.0,0.0,5.6,10.2
2011-08-26 11:00:00,7.65,7.62,0.0,0.0,6.1,10.4
2011-08-26 11:15:00,7.67,7.71,0.0,0.0,6.0,11.9
2011-08-26 11:30:00,7.64,7.66,0.0,0.0,6.1,12.0
2011-08-26 11:45:00,7.66,7.72,0.0,0.0,5.8,11.4
2011-08-26 12:00:00,7.52,7.53,0.0,0.0,5.2,11.7
2011-08-26 12:15:00,7.36,7.89,0.0,0.0,5.6,11.5
2011-08-26 12:30:00,7.49,7.75,0.0,0.0,7.1,12.5
2011-08-26 12:45:00,7.45,7.68,0.0,0.0,6.2,13.2
2011-08-26 13:00:00,7.35,7.79,0.0,0.0,4.1,12.8
2011-08-26 13:15:00,7.69,7.74,0.0,0.0,4.7,12.9
2011-08-26 13:30:00,7.65,7.65,0.0,0.0,4.9,11.9
